age_struct,bedrooms,BLD_label,gross_rent,num_persons,move_in,HHT_label
100,3,One-family house detached,1960,4,7,Married couple household
100,3,One-family house detached,1960,4,7,Married couple household
100,3,One-family house detached,1960,4,7,Married couple household
33,1,5-9 Apartments,320,1,7,Nonfamily household: Female householder: Living alone
23,3,5-9 Apartments,670,5,7,"Other family household: Female householder, no spouse present"
23,3,5-9 Apartments,670,5,7,"Other family household: Female householder, no spouse present"
23,3,5-9 Apartments,670,5,7,"Other family household: Female householder, no spouse present"
23,3,5-9 Apartments,670,5,7,"Other family household: Female householder, no spouse present"
23,3,5-9 Apartments,670,5,7,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,2420,2,3,Nonfamily household: Female householder: Not living alone
100,2,2 Apartments,2420,2,3,Nonfamily household: Female householder: Not living alone
100,1,50 or more apartments,870,1,1,Nonfamily household: Female householder: Living alone
33,2,10-19 Apartments,1460,2,1,Married couple household
33,2,10-19 Apartments,1460,2,1,Married couple household
100,3,3-4 Apartments,1500,4,3,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1500,4,3,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1500,4,3,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1500,4,3,"Other family household: Female householder, no spouse present"
33,1,50 or more apartments,210,1,3,Nonfamily household: Male householder: Living alone
43,2,3-4 Apartments,870,1,3,Nonfamily household: Female householder: Living alone
100,1,3-4 Apartments,1360,1,30,Nonfamily household: Female householder: Living alone
43,2,50 or more apartments,1100,5,7,Married couple household
43,2,50 or more apartments,1100,5,7,Married couple household
43,2,50 or more apartments,1100,5,7,Married couple household
43,2,50 or more apartments,1100,5,7,Married couple household
43,2,50 or more apartments,1100,5,7,Married couple household
100,0,5-9 Apartments,2340,2,2,Nonfamily household: Male householder: Not living alone
100,0,5-9 Apartments,2340,2,2,Nonfamily household: Male householder: Not living alone
43,2,3-4 Apartments,1010,1,1,Nonfamily household: Female householder: Living alone
100,3,5-9 Apartments,3770,1,2,Nonfamily household: Male householder: Living alone
73,3,3-4 Apartments,730,3,3,"Other family household: Female householder, no spouse present"
73,3,3-4 Apartments,730,3,3,"Other family household: Female householder, no spouse present"
73,3,3-4 Apartments,730,3,3,"Other family household: Female householder, no spouse present"
100,3,One-family house attached,1700,4,2,Married couple household
100,3,One-family house attached,1700,4,2,Married couple household
100,3,One-family house attached,1700,4,2,Married couple household
100,3,One-family house attached,1700,4,2,Married couple household
23,1,5-9 Apartments,2420,2,1,Nonfamily household: Male householder: Not living alone
23,1,5-9 Apartments,2420,2,1,Nonfamily household: Male householder: Not living alone
33,1,50 or more apartments,580,1,7,Nonfamily household: Female householder: Living alone
16,2,2 Apartments,510,1,2,Nonfamily household: Female householder: Living alone
53,2,20-49 Apartments,2220,1,1,Nonfamily household: Male householder: Living alone
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
23,3,3-4 Apartments,1800,7,3,Married couple household
33,2,One-family house attached,1440,1,15,Nonfamily household: Female householder: Living alone
63,2,3-4 Apartments,2063,2,3,Nonfamily household: Male householder: Not living alone
63,2,3-4 Apartments,2063,2,3,Nonfamily household: Male householder: Not living alone
100,2,One-family house attached,1390,4,3,Married couple household
100,2,One-family house attached,1390,4,3,Married couple household
100,2,One-family house attached,1390,4,3,Married couple household
100,2,One-family house attached,1390,4,3,Married couple household
100,0,5-9 Apartments,520,2,30,"Other family household: Female householder, no spouse present"
100,0,5-9 Apartments,520,2,30,"Other family household: Female householder, no spouse present"
43,4,3-4 Apartments,2190,4,1,Married couple household
43,4,3-4 Apartments,2190,4,1,Married couple household
43,4,3-4 Apartments,2190,4,1,Married couple household
43,4,3-4 Apartments,2190,4,1,Married couple household
100,1,20-49 Apartments,300,1,7,Nonfamily household: Male householder: Living alone
33,2,20-49 Apartments,220,1,30,Nonfamily household: Female householder: Living alone
33,2,5-9 Apartments,240,2,7,Nonfamily household: Female householder: Not living alone
33,2,5-9 Apartments,240,2,7,Nonfamily household: Female householder: Not living alone
33,1,50 or more apartments,1240,1,7,Nonfamily household: Female householder: Living alone
100,0,50 or more apartments,1700,1,1,Nonfamily household: Male householder: Living alone
33,2,10-19 Apartments,1640,2,1,Nonfamily household: Male householder: Not living alone
33,2,10-19 Apartments,1640,2,1,Nonfamily household: Male householder: Not living alone
43,1,10-19 Apartments,740,2,7,Married couple household
43,1,10-19 Apartments,740,2,7,Married couple household
100,2,3-4 Apartments,1470,2,2,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1470,2,2,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1368,2,30,Married couple household
100,2,3-4 Apartments,1368,2,30,Married couple household
100,4,3-4 Apartments,1090,4,1,Nonfamily household: Female householder: Not living alone
100,4,3-4 Apartments,1090,4,1,Nonfamily household: Female householder: Not living alone
100,4,3-4 Apartments,1090,4,1,Nonfamily household: Female householder: Not living alone
100,4,3-4 Apartments,1090,4,1,Nonfamily household: Female householder: Not living alone
33,2,50 or more apartments,1570,4,7,Married couple household
33,2,50 or more apartments,1570,4,7,Married couple household
33,2,50 or more apartments,1570,4,7,Married couple household
33,2,50 or more apartments,1570,4,7,Married couple household
100,2,3-4 Apartments,940,2,3,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,940,2,3,Nonfamily household: Female householder: Not living alone
33,2,20-49 Apartments,1970,1,1,Nonfamily household: Male householder: Living alone
100,0,5-9 Apartments,1850,1,1,Nonfamily household: Female householder: Living alone
100,3,2 Apartments,1350,4,25,Married couple household
100,3,2 Apartments,1350,4,25,Married couple household
100,3,2 Apartments,1350,4,25,Married couple household
100,3,2 Apartments,1350,4,25,Married couple household
63,3,3-4 Apartments,2115,3,7,Nonfamily household: Female householder: Not living alone
63,3,3-4 Apartments,2115,3,7,Nonfamily household: Female householder: Not living alone
63,3,3-4 Apartments,2115,3,7,Nonfamily household: Female householder: Not living alone
33,1,5-9 Apartments,310,1,15,Nonfamily household: Female householder: Living alone
16,2,2 Apartments,1680,2,3,Married couple household
16,2,2 Apartments,1680,2,3,Married couple household
100,2,3-4 Apartments,2780,2,3,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,2780,2,3,Nonfamily household: Female householder: Not living alone
73,1,2 Apartments,1270,1,7,Nonfamily household: Female householder: Living alone
73,2,20-49 Apartments,600,2,1,Married couple household
73,2,20-49 Apartments,600,2,1,Married couple household
100,1,2 Apartments,1890,2,3,Married couple household
100,1,2 Apartments,1890,2,3,Married couple household
23,2,20-49 Apartments,2525,2,3,Nonfamily household: Female householder: Not living alone
23,2,20-49 Apartments,2525,2,3,Nonfamily household: Female householder: Not living alone
73,0,20-49 Apartments,1554,1,7,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,850,1,1,Nonfamily household: Female householder: Living alone
9,2,One-family house attached,1470,2,1,Nonfamily household: Male householder: Not living alone
9,2,One-family house attached,1470,2,1,Nonfamily household: Male householder: Not living alone
33,2,5-9 Apartments,1000,1,7,Nonfamily household: Male householder: Living alone
43,2,5-9 Apartments,1950,5,7,Married couple household
43,2,5-9 Apartments,1950,5,7,Married couple household
43,2,5-9 Apartments,1950,5,7,Married couple household
43,2,5-9 Apartments,1950,5,7,Married couple household
43,2,5-9 Apartments,1950,5,7,Married couple household
23,1,3-4 Apartments,1100,1,15,Nonfamily household: Female householder: Living alone
100,1,50 or more apartments,400,1,7,Nonfamily household: Male householder: Living alone
43,2,10-19 Apartments,3100,2,1,Nonfamily household: Female householder: Not living alone
43,2,10-19 Apartments,3100,2,1,Nonfamily household: Female householder: Not living alone
6,1,5-9 Apartments,1340,1,3,Nonfamily household: Male householder: Living alone
53,3,5-9 Apartments,1460,3,1,Married couple household
53,3,5-9 Apartments,1460,3,1,Married couple household
53,3,5-9 Apartments,1460,3,1,Married couple household
100,2,3-4 Apartments,1200,2,7,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1200,2,7,"Other family household: Female householder, no spouse present"
43,0,50 or more apartments,1614,1,1,Nonfamily household: Female householder: Living alone
23,2,5-9 Apartments,1440,2,3,"Other family household: Female householder, no spouse present"
23,2,5-9 Apartments,1440,2,3,"Other family household: Female householder, no spouse present"
4,2,20-49 Apartments,1761,1,1,Nonfamily household: Male householder: Living alone
100,1,One-family house detached,770,1,25,Nonfamily household: Female householder: Living alone
23,1,10-19 Apartments,1660,3,2,Married couple household
23,1,10-19 Apartments,1660,3,2,Married couple household
23,1,10-19 Apartments,1660,3,2,Married couple household
53,2,50 or more apartments,1000,2,1,"Other family household: Female householder, no spouse present"
53,2,50 or more apartments,1000,2,1,"Other family household: Female householder, no spouse present"
43,3,One-family house detached,2420,4,2,Married couple household
43,3,One-family house detached,2420,4,2,Married couple household
43,3,One-family house detached,2420,4,2,Married couple household
43,3,One-family house detached,2420,4,2,Married couple household
4,1,20-49 Apartments,1700,2,1,Nonfamily household: Female householder: Not living alone
4,1,20-49 Apartments,1700,2,1,Nonfamily household: Female householder: Not living alone
63,2,2 Apartments,1534,1,7,Nonfamily household: Female householder: Living alone
53,1,5-9 Apartments,700,1,3,Nonfamily household: Male householder: Living alone
53,3,3-4 Apartments,680,1,25,Nonfamily household: Female householder: Living alone
43,1,2 Apartments,800,3,2,Married couple household
43,1,2 Apartments,800,3,2,Married couple household
43,1,2 Apartments,800,3,2,Married couple household
63,2,2 Apartments,2383,1,3,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,1160,1,7,Nonfamily household: Male householder: Living alone
63,0,10-19 Apartments,1230,1,2,Nonfamily household: Female householder: Living alone
53,1,3-4 Apartments,1810,2,3,Married couple household
53,1,3-4 Apartments,1810,2,3,Married couple household
23,2,One-family house attached,1210,3,15,Married couple household
23,2,One-family house attached,1210,3,15,Married couple household
23,2,One-family house attached,1210,3,15,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
63,5,5-9 Apartments,570,8,7,Married couple household
100,0,20-49 Apartments,670,1,1,Nonfamily household: Female householder: Living alone
100,1,20-49 Apartments,570,1,3,Nonfamily household: Female householder: Living alone
23,2,50 or more apartments,580,1,3,Nonfamily household: Female householder: Living alone
43,2,Mobile home or trailer,460,2,3,Married couple household
43,2,Mobile home or trailer,460,2,3,Married couple household
15,2,20-49 Apartments,1010,1,3,Nonfamily household: Male householder: Living alone
100,2,3-4 Apartments,1180,5,25,Married couple household
100,2,3-4 Apartments,1180,5,25,Married couple household
100,2,3-4 Apartments,1180,5,25,Married couple household
100,2,3-4 Apartments,1180,5,25,Married couple household
100,2,3-4 Apartments,1180,5,25,Married couple household
100,3,3-4 Apartments,1760,3,7,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,1760,3,7,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,1760,3,7,Nonfamily household: Female householder: Not living alone
23,2,50 or more apartments,220,1,15,Nonfamily household: Female householder: Living alone
43,2,50 or more apartments,1660,3,15,"Other family household: Male householder, no spouse present"
43,2,50 or more apartments,1660,3,15,"Other family household: Male householder, no spouse present"
43,2,50 or more apartments,1660,3,15,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1190,3,15,Married couple household
100,3,3-4 Apartments,1190,3,15,Married couple household
100,3,3-4 Apartments,1190,3,15,Married couple household
33,4,One-family house attached,1300,1,25,Nonfamily household: Male householder: Living alone
100,0,20-49 Apartments,320,1,25,Nonfamily household: Male householder: Living alone
100,2,3-4 Apartments,980,2,7,Married couple household
100,2,3-4 Apartments,980,2,7,Married couple household
43,2,20-49 Apartments,960,2,15,"Other family household: Female householder, no spouse present"
43,2,20-49 Apartments,960,2,15,"Other family household: Female householder, no spouse present"
100,2,One-family house attached,1867,2,3,Nonfamily household: Male householder: Not living alone
100,2,One-family house attached,1867,2,3,Nonfamily household: Male householder: Not living alone
63,1,10-19 Apartments,1350,2,3,"Other family household: Female householder, no spouse present"
63,1,10-19 Apartments,1350,2,3,"Other family household: Female householder, no spouse present"
53,1,2 Apartments,1210,2,1,Nonfamily household: Male householder: Not living alone
53,1,2 Apartments,1210,2,1,Nonfamily household: Male householder: Not living alone
73,2,2 Apartments,440,1,3,Nonfamily household: Male householder: Living alone
33,1,3-4 Apartments,1400,1,1,Nonfamily household: Male householder: Living alone
43,1,20-49 Apartments,480,1,15,Nonfamily household: Female householder: Living alone
63,3,3-4 Apartments,2200,2,3,Married couple household
63,3,3-4 Apartments,2200,2,3,Married couple household
11,1,50 or more apartments,1732,1,7,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,1370,3,7,Married couple household
100,2,3-4 Apartments,1370,3,7,Married couple household
100,2,3-4 Apartments,1370,3,7,Married couple household
100,2,2 Apartments,2380,2,7,Married couple household
100,2,2 Apartments,2380,2,7,Married couple household
53,3,One-family house attached,1210,4,2,"Other family household: Female householder, no spouse present"
53,3,One-family house attached,1210,4,2,"Other family household: Female householder, no spouse present"
53,3,One-family house attached,1210,4,2,"Other family household: Female householder, no spouse present"
53,3,One-family house attached,1210,4,2,"Other family household: Female householder, no spouse present"
53,4,2 Apartments,1410,6,3,Married couple household
53,4,2 Apartments,1410,6,3,Married couple household
53,4,2 Apartments,1410,6,3,Married couple household
53,4,2 Apartments,1410,6,3,Married couple household
53,4,2 Apartments,1410,6,3,Married couple household
53,4,2 Apartments,1410,6,3,Married couple household
100,2,One-family house attached,1697,1,2,Nonfamily household: Male householder: Living alone
53,1,50 or more apartments,580,1,7,Nonfamily household: Male householder: Living alone
100,3,3-4 Apartments,800,2,1,Nonfamily household: Male householder: Not living alone
100,3,3-4 Apartments,800,2,1,Nonfamily household: Male householder: Not living alone
100,2,One-family house attached,1500,1,3,Nonfamily household: Male householder: Living alone
100,1,10-19 Apartments,560,1,7,Nonfamily household: Female householder: Living alone
73,3,One-family house detached,1730,4,3,Married couple household
73,3,One-family house detached,1730,4,3,Married couple household
73,3,One-family house detached,1730,4,3,Married couple household
73,3,One-family house detached,1730,4,3,Married couple household
100,3,3-4 Apartments,1130,4,3,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1130,4,3,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1130,4,3,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1130,4,3,"Other family household: Male householder, no spouse present"
100,2,2 Apartments,1060,1,15,Nonfamily household: Male householder: Living alone
33,3,5-9 Apartments,1010,1,1,Nonfamily household: Male householder: Living alone
43,1,5-9 Apartments,1210,1,1,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,2140,2,3,Married couple household
100,2,2 Apartments,2140,2,3,Married couple household
33,2,10-19 Apartments,1230,2,2,"Other family household: Female householder, no spouse present"
33,2,10-19 Apartments,1230,2,2,"Other family household: Female householder, no spouse present"
43,3,2 Apartments,1450,5,15,Married couple household
43,3,2 Apartments,1450,5,15,Married couple household
43,3,2 Apartments,1450,5,15,Married couple household
43,3,2 Apartments,1450,5,15,Married couple household
43,3,2 Apartments,1450,5,15,Married couple household
43,1,50 or more apartments,410,1,3,Nonfamily household: Female householder: Living alone
53,2,5-9 Apartments,1590,3,25,Married couple household
53,2,5-9 Apartments,1590,3,25,Married couple household
53,2,5-9 Apartments,1590,3,25,Married couple household
100,1,5-9 Apartments,2330,4,15,"Other family household: Male householder, no spouse present"
100,1,5-9 Apartments,2330,4,15,"Other family household: Male householder, no spouse present"
100,1,5-9 Apartments,2330,4,15,"Other family household: Male householder, no spouse present"
100,1,5-9 Apartments,2330,4,15,"Other family household: Male householder, no spouse present"
63,1,50 or more apartments,1410,2,15,"Other family household: Male householder, no spouse present"
63,1,50 or more apartments,1410,2,15,"Other family household: Male householder, no spouse present"
100,2,50 or more apartments,310,1,3,Nonfamily household: Female householder: Living alone
43,3,3-4 Apartments,1730,4,2,Married couple household
43,3,3-4 Apartments,1730,4,2,Married couple household
43,3,3-4 Apartments,1730,4,2,Married couple household
43,3,3-4 Apartments,1730,4,2,Married couple household
33,1,50 or more apartments,250,1,3,Nonfamily household: Male householder: Living alone
16,2,3-4 Apartments,3490,3,1,Married couple household
16,2,3-4 Apartments,3490,3,1,Married couple household
16,2,3-4 Apartments,3490,3,1,Married couple household
16,2,50 or more apartments,2400,3,2,Married couple household
16,2,50 or more apartments,2400,3,2,Married couple household
16,2,50 or more apartments,2400,3,2,Married couple household
100,2,3-4 Apartments,660,3,3,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,660,3,3,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,660,3,3,"Other family household: Female householder, no spouse present"
33,1,5-9 Apartments,1160,1,2,Nonfamily household: Male householder: Living alone
100,3,2 Apartments,3170,3,3,Nonfamily household: Male householder: Not living alone
100,3,2 Apartments,3170,3,3,Nonfamily household: Male householder: Not living alone
100,3,2 Apartments,3170,3,3,Nonfamily household: Male householder: Not living alone
100,3,3-4 Apartments,1930,3,1,Nonfamily household: Male householder: Not living alone
100,3,3-4 Apartments,1930,3,1,Nonfamily household: Male householder: Not living alone
100,3,3-4 Apartments,1930,3,1,Nonfamily household: Male householder: Not living alone
100,3,2 Apartments,2050,4,1,Married couple household
100,3,2 Apartments,2050,4,1,Married couple household
100,3,2 Apartments,2050,4,1,Married couple household
100,3,2 Apartments,2050,4,1,Married couple household
43,3,3-4 Apartments,910,3,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,910,3,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,910,3,3,Nonfamily household: Female householder: Not living alone
100,1,5-9 Apartments,1500,2,7,Married couple household
100,1,5-9 Apartments,1500,2,7,Married couple household
53,2,3-4 Apartments,1270,3,1,Married couple household
53,2,3-4 Apartments,1270,3,1,Married couple household
53,2,3-4 Apartments,1270,3,1,Married couple household
33,0,5-9 Apartments,270,1,3,Nonfamily household: Female householder: Living alone
100,0,3-4 Apartments,2430,2,15,Nonfamily household: Female householder: Not living alone
100,0,3-4 Apartments,2430,2,15,Nonfamily household: Female householder: Not living alone
100,3,One-family house detached,860,1,7,Nonfamily household: Female householder: Living alone
33,1,10-19 Apartments,780,1,25,Nonfamily household: Male householder: Living alone
43,1,50 or more apartments,1810,4,1,Nonfamily household: Male householder: Not living alone
43,1,50 or more apartments,1810,4,1,Nonfamily household: Male householder: Not living alone
43,1,50 or more apartments,1810,4,1,Nonfamily household: Male householder: Not living alone
43,1,50 or more apartments,1810,4,1,Nonfamily household: Male householder: Not living alone
100,2,One-family house detached,3060,1,7,Nonfamily household: Female householder: Living alone
63,2,5-9 Apartments,2300,2,1,Nonfamily household: Female householder: Not living alone
63,2,5-9 Apartments,2300,2,1,Nonfamily household: Female householder: Not living alone
4,1,50 or more apartments,1900,1,2,Nonfamily household: Male householder: Living alone
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
53,2,One-family house detached,2270,6,3,"Other family household: Female householder, no spouse present"
43,2,2 Apartments,1254,5,1,"Other family household: Female householder, no spouse present"
43,2,2 Apartments,1254,5,1,"Other family household: Female householder, no spouse present"
43,2,2 Apartments,1254,5,1,"Other family household: Female householder, no spouse present"
43,2,2 Apartments,1254,5,1,"Other family household: Female householder, no spouse present"
43,2,2 Apartments,1254,5,1,"Other family household: Female householder, no spouse present"
53,1,20-49 Apartments,1950,1,1,Nonfamily household: Male householder: Living alone
16,1,20-49 Apartments,920,1,1,Nonfamily household: Male householder: Living alone
33,2,5-9 Apartments,1460,2,15,"Other family household: Female householder, no spouse present"
33,2,5-9 Apartments,1460,2,15,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,2980,3,2,Nonfamily household: Female householder: Not living alone
100,3,2 Apartments,2980,3,2,Nonfamily household: Female householder: Not living alone
100,3,2 Apartments,2980,3,2,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,980,2,3,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,980,2,3,Nonfamily household: Female householder: Not living alone
33,3,One-family house attached,1700,1,3,Nonfamily household: Male householder: Living alone
100,4,One-family house detached,1405,4,2,Married couple household
100,4,One-family house detached,1405,4,2,Married couple household
100,4,One-family house detached,1405,4,2,Married couple household
100,4,One-family house detached,1405,4,2,Married couple household
5,0,50 or more apartments,2342,1,1,Nonfamily household: Female householder: Living alone
16,1,50 or more apartments,2200,1,1,Nonfamily household: Male householder: Living alone
43,2,20-49 Apartments,900,1,25,Nonfamily household: Female householder: Living alone
33,1,One-family house attached,2300,5,3,Married couple household
33,1,One-family house attached,2300,5,3,Married couple household
33,1,One-family house attached,2300,5,3,Married couple household
33,1,One-family house attached,2300,5,3,Married couple household
33,1,One-family house attached,2300,5,3,Married couple household
43,2,50 or more apartments,2612,1,1,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,1310,1,1,Nonfamily household: Female householder: Living alone
100,1,50 or more apartments,930,1,7,Nonfamily household: Male householder: Living alone
43,1,3-4 Apartments,290,1,3,Nonfamily household: Female householder: Living alone
53,1,50 or more apartments,250,1,3,Nonfamily household: Female householder: Living alone
100,5,One-family house detached,1230,5,30,Married couple household
100,5,One-family house detached,1230,5,30,Married couple household
100,5,One-family house detached,1230,5,30,Married couple household
100,5,One-family house detached,1230,5,30,Married couple household
100,5,One-family house detached,1230,5,30,Married couple household
100,3,3-4 Apartments,490,2,3,Married couple household
100,3,3-4 Apartments,490,2,3,Married couple household
3,3,20-49 Apartments,2420,3,1,Nonfamily household: Male householder: Not living alone
3,3,20-49 Apartments,2420,3,1,Nonfamily household: Male householder: Not living alone
3,3,20-49 Apartments,2420,3,1,Nonfamily household: Male householder: Not living alone
43,2,50 or more apartments,1300,1,25,Nonfamily household: Male householder: Living alone
12,2,50 or more apartments,3130,2,7,Married couple household
12,2,50 or more apartments,3130,2,7,Married couple household
53,1,5-9 Apartments,930,2,15,Married couple household
53,1,5-9 Apartments,930,2,15,Married couple household
73,1,5-9 Apartments,1800,1,1,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,1620,3,3,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1620,3,3,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1620,3,3,"Other family household: Female householder, no spouse present"
63,2,50 or more apartments,90,4,7,"Other family household: Female householder, no spouse present"
63,2,50 or more apartments,90,4,7,"Other family household: Female householder, no spouse present"
63,2,50 or more apartments,90,4,7,"Other family household: Female householder, no spouse present"
63,2,50 or more apartments,90,4,7,"Other family household: Female householder, no spouse present"
